id	SpectrumFile	#Scan#	Compound_Name	LibraryQualityString	MQScore	SharedPeaks	TIC_Query	SpecMZ	LibMZ	MassDiff	Charge
0	LGFB1_95D_101916.mgf	4193	Heme B / Porphyrin	Gold	0.7723	19	5.93091e+06	615.14	616.177	1.03668	1
0	LGFB2_95D_101916.mgf	4139	Heme B / Porphyrin	Gold	0.893691	11	3.83085e+07	615.185	616.177	0.992065	1
0	LGFN_L_100MeOH_080916.mgf	1925	Massbank:KNA00223 FAD|Flavin adenine dinucleotide	Bronze	0.72166	10	1.673e+06	439.101	439.1	0.000732422	1
1	LGFN_L_100MeOH_080916.mgf	156	Pesticide3_Pyraclostrobin_C19H18ClN3O4_Methyl [2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]methoxycarbamate	Gold	0.710902	10	1.02642e+07	411.146	410.088	1.05814	1
2	LGFN_L_100MeOH_080916.mgf	5030	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	Gold	0.702883	12	1.99902e+07	478.292	478.287	0.00482178	1
0	LGFN_S_100MeOH_080916.mgf	5067	HMDB:HMDB00593-821 PC(18:1(9Z)/18:1(9Z)) 	Bronze	0.940225	6	1.35599e+08	787.592	786.601	0.991394	1
1	LGFN_S_100MeOH_080916.mgf	1871	NCGC00384576-01_C18H24O12_2-Methyl-4-oxo-4H-pyran-3-yl 6-O-(4-carboxy-3-hydroxy-3-methylbutanoyl)-beta-D-glucopyranoside	Gold	0.926933	9	4.95509e+07	433.133	433.134	0.000579834	1
2	LGFN_S_100MeOH_080916.mgf	4939	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	Gold	0.78869	16	3.46462e+07	478.292	478.287	0.00482178	1
